,ds,Region,country,all_day_bing_tiles_visited_relative_change,allday_single_tile_byDistrict,#_of_Districts,Region_popu_ratio,allday_single_tile_byRegion
0,2020-03-01,HKI,HKG,0.09278,0.7401074679860303,4,0.18233410942956926,0.18502686699650758
1,2020-03-01,KL,HKG,0.10718,1.2561717331199067,5,0.32625145518044235,0.25123434662398136
2,2020-03-01,NT,HKG,0.13762,1.8740707479627474,8,0.49141443538998836,0.23425884349534343
3,2020-03-02,HKI,HKG,-0.0151,0.78235207217695,4,0.18233410942956926,0.1955880180442375
4,2020-03-02,KL,HKG,0.13191,1.2199400873108266,5,0.32625145518044235,0.2439880174621653
5,2020-03-02,NT,HKG,0.2038,1.7585319004656577,8,0.49141443538998836,0.2198164875582072
6,2020-03-03,HKI,HKG,0.09872,0.8518455835273575,4,0.18233410942956926,0.21296139588183938
7,2020-03-03,KL,HKG,0.20112,1.2913458760186263,5,0.32625145518044235,0.2582691752037253
8,2020-03-03,NT,HKG,0.28758,1.8974057465075669,8,0.49141443538998836,0.23717571831344586
9,2020-03-04,HKI,HKG,0.0767,0.8461387587310829,4,0.18233410942956926,0.21153468968277073
10,2020-03-04,KL,HKG,0.11932999999999999,1.3099907843422585,5,0.32625145518044235,0.2619981568684517
11,2020-03-04,NT,HKG,0.2106,1.9290764348079164,8,0.49141443538998836,0.24113455435098954
12,2020-03-05,HKI,HKG,0.0687,0.8666794935972061,4,0.18233410942956926,0.21666987339930152
13,2020-03-05,KL,HKG,0.13390000000000002,1.319963614668219,5,0.32625145518044235,0.2639927229336438
14,2020-03-05,NT,HKG,0.19048,1.939648173748545,8,0.49141443538998836,0.24245602171856812
15,2020-03-06,HKI,HKG,0.09475,0.8174545241559955,4,0.18233410942956926,0.20436363103899888
16,2020-03-06,KL,HKG,0.21946,1.255116605064028,5,0.32625145518044235,0.25102332101280556
17,2020-03-06,NT,HKG,0.35452,1.840565286670547,8,0.49141443538998836,0.23007066083381839
18,2020-03-07,HKI,HKG,0.09938999999999999,0.8269097846332946,4,0.18233410942956926,0.20672744615832364
19,2020-03-07,KL,HKG,0.26435,1.2720631213620488,5,0.32625145518044235,0.25441262427240974
20,2020-03-07,NT,HKG,0.42337,1.8557364260768336,8,0.49141443538998836,0.2319670532596042
21,2020-03-08,HKI,HKG,0.18963000000000002,0.7356769295692667,4,0.18233410942956926,0.18391923239231667
22,2020-03-08,KL,HKG,0.2536,1.2600035608265425,5,0.32625145518044235,0.2520007121653085
23,2020-03-08,NT,HKG,0.42883000000000004,1.8412815774155997,8,0.49141443538998836,0.23016019717694997
24,2020-03-09,HKI,HKG,0.031990000000000005,0.7702588183934809,4,0.18233410942956926,0.19256470459837022
25,2020-03-09,KL,HKG,0.22865,1.1959321391152502,5,0.32625145518044235,0.23918642782305005
26,2020-03-09,NT,HKG,0.35505,1.7497015483119909,8,0.49141443538998836,0.21871269353899886
27,2020-03-10,HKI,HKG,0.18391,0.8231490046565775,4,0.18233410942956926,0.20578725116414437
28,2020-03-10,KL,HKG,0.31864,1.2591120998253782,5,0.32625145518044235,0.25182241996507565
29,2020-03-10,NT,HKG,0.50281,1.8509307843422584,8,0.49141443538998836,0.2313663480427823
30,2020-03-11,HKI,HKG,0.15609,0.829797904540163,4,0.18233410942956926,0.20744947613504075
31,2020-03-11,KL,HKG,0.25022,1.265858888242142,5,0.32625145518044235,0.2531717776484284
32,2020-03-11,NT,HKG,0.43339,1.8512910448195576,8,0.49141443538998836,0.2314113806024447
33,2020-03-12,HKI,HKG,0.14662999999999998,0.8531666705471479,4,0.18233410942956926,0.21329166763678697
34,2020-03-12,KL,HKG,0.24749,1.2814601236903376,5,0.32625145518044235,0.2562920247380675
35,2020-03-12,NT,HKG,0.37022,1.8977990075669384,8,0.49141443538998836,0.2372248759458673
36,2020-03-13,HKI,HKG,0.17736,0.8128569543073342,4,0.18233410942956926,0.20321423857683354
37,2020-03-13,KL,HKG,0.27626,1.2403007290454016,5,0.32625145518044235,0.2480601458090803
38,2020-03-13,NT,HKG,0.43905,1.8074491530849826,8,0.49141443538998836,0.22593114413562282
39,2020-03-14,HKI,HKG,0.10175000000000001,0.8229461525029105,4,0.18233410942956926,0.20573653812572762
40,2020-03-14,KL,HKG,0.28606,1.2577772089639114,5,0.32625145518044235,0.2515554417927823
41,2020-03-14,NT,HKG,0.46074,1.8593787601862632,8,0.49141443538998836,0.2324223450232829
42,2020-03-15,HKI,HKG,0.29282,0.695378345459837,4,0.18233410942956926,0.17384458636495925
43,2020-03-15,KL,HKG,0.48498,1.175283397846333,5,0.32625145518044235,0.23505667956926662
44,2020-03-15,NT,HKG,0.69459,1.7556433600116415,8,0.49141443538998836,0.21945542000145518
45,2020-03-16,HKI,HKG,0.07897,0.7514183061699652,4,0.18233410942956926,0.1878545765424913
46,2020-03-16,KL,HKG,0.32925,1.1563551396973224,5,0.32625145518044235,0.23127102793946447
47,2020-03-16,NT,HKG,0.54959,1.6869795139697321,8,0.49141443538998836,0.21087243924621651
48,2020-03-17,HKI,HKG,0.19475,0.8345275509313155,4,0.18233410942956926,0.20863188773282887
49,2020-03-17,KL,HKG,0.34048,1.2660226047729919,5,0.32625145518044235,0.2532045209545984
50,2020-03-17,NT,HKG,0.5244,1.8624255005820722,8,0.49141443538998836,0.23280318757275903
51,2020-03-18,HKI,HKG,0.007520000000000001,0.8892834822467988,4,0.18233410942956926,0.2223208705616997
52,2020-03-18,KL,HKG,0.15043,1.3403481038998835,5,0.32625145518044235,0.2680696207799767
53,2020-03-18,NT,HKG,0.19032,1.9951007785215369,8,0.49141443538998836,0.2493875973151921
54,2020-03-19,HKI,HKG,0.09983,0.8713256490104774,4,0.18233410942956926,0.21783141225261934
55,2020-03-19,KL,HKG,0.21949000000000002,1.32573901338766,5,0.32625145518044235,0.265147802677532
56,2020-03-19,NT,HKG,0.24271,2.0207599185098952,8,0.49141443538998836,0.2525949898137369
57,2020-03-20,HKI,HKG,0.06609,0.8422416472642609,4,0.18233410942956926,0.21056041181606522
58,2020-03-20,KL,HKG,0.23403,1.2763052299185098,5,0.32625145518044235,0.255261045983702
59,2020-03-20,NT,HKG,0.33453,1.88992013096624,8,0.49141443538998836,0.23624001637078
60,2020-03-21,HKI,HKG,-0.11841,0.8979185273573923,4,0.18233410942956926,0.22447963183934808
61,2020-03-21,KL,HKG,0.10590000000000001,1.3608382741559952,5,0.32625145518044235,0.27216765483119904
62,2020-03-21,NT,HKG,0.1253,1.9916487543655415,8,0.49141443538998836,0.24895609429569268
63,2020-03-22,HKI,HKG,-0.11986000000000001,0.8151412427240979,4,0.18233410942956926,0.20378531068102448
64,2020-03-22,KL,HKG,-0.007960000000000002,1.3388669368451689,5,0.32625145518044235,0.2677733873690338
65,2020-03-22,NT,HKG,-0.06561,1.9973652022700814,8,0.49141443538998836,0.24967065028376018
66,2020-03-23,HKI,HKG,-0.14537,0.8296766137951107,4,0.18233410942956926,0.20741915344877768
67,2020-03-23,KL,HKG,0.08779999999999999,1.2803360011641443,5,0.32625145518044235,0.25606720023282886
